Passive,Active
Anuraeopsis,Corynoneura
Bdelloidea1,Orthocladiinae1
Bdelloidea2,Orthocladiinae2
Bdelloidea3,Orthocladiinae3
Epiphanes1,Orthocladiinae4
Epiphanes2,Orthocladiinae5
Epiphanes3,Orthocladiinae6
Sinantherina,Orthocladiinae7
Rotifera1,Orthocladiinae8
Hexarthra,Orthocladiinae9
Asplanchna girodi,Gymnometriocnemus
Rotifera2,Cricotopus
Rotifera3,Chironomidae1
Brachionus,Chironomidae2
Lecane,Chironominae1
Neothrix armata,Chironomus5
Macrothrix1,Chironominae4
Macrothrix2,Chironominae5
Macrothrix3,Chironominae6
Macrothrix spinosa,Chironomus6
Macrothrix4,Chironomus1
Macrothrix hardingi,Chironomus2
Macrothrix breviseta,Chironomus3
Camptocercus,Chironomus4
Pleuroxus,Procladius
Pleuroxus jugosus,Tanytarsus
Pleuroxus letourneuxi,Tanypodinae4
Plurispina,Tanypodinae1
Moina brachiata,Tanypodinae2
Moina,Tanypodinae3
Ephemeroporus,Podonominae
Ephemeroporus cf. barroisi,Podonomus
Daphnia jollyi,Culicidae1
Daphnia magna,Culicidae2
Daphnia pulicaria,Anopheles
Daphnia obtusa,Aedes1
Daphnia pulex,Aedes2
Daphnia longispina,Aedes vexans
Daphnia,Culex1
Ceriodaphnia quadrangula,Culex2
Ceriodaphnia dubla,Culex3
Ceriodaphnia reticula,Culex laticinctus
Ceriodaphnia,Culiseta longiareolata
Alona elegans,Ceratopogonidae1
Alona rectangula,Ceratopogonidae2
Alona rigidicaudis,Dasyhelea pupae
Alona diaphana,Alluaudomyia
Alona 1,Forcipomyia
Alona2,Dasyhelea1
Alona3,Dasyhelea2
Alona4,Dasyhelea3
Alona5,Dasyhelea4
Chydorus sphaericus,Dasyhelea5
Chydorus,Dasyhelea6
Leberis1,Dasyhelea7
Leberis2,Dasyhelea8
Scapholeberis mucronata,Dasyhelea9
Biapertura affinis,Corethrella
Simocephalus serrulatus,Stratiomyidae1
Simocephalus vetulus,Stratiomyidae2
Bosmina coregoni,Dolichopodidae1
Bosmina,Dolichopodidae2
Diaphanosoma excisum,Bezzia pupa
Polyphemus pediculus,Ephydridae larva1
Cyclestheria hislopi,Ephydridae larva2
Caenestheriella mariae,Coleoptera1 L
Cyzicus tetracerus,Hemibidessus A
Limnadia badia,Celina A
Turbellaria1,Pachydrus L
Turbellaria2,Hydroporus LnA
Turbellaria4,Hydroporinae1 L
Turbellaria5,Hydroporinae2 L
Turbellaria6,Hydroporinae3 L
Turbellaria7,Hydroporinae4 L
Turbellaria8,Hydroporinae5 L
Turbellaria9,Hydroporinae6 L
Turbellaria10,Hydroporinae9 L
Mesostoma1,Hydroporinae10 LnA
Mesostoma2,Gyrinidae A
Dugesiidae,Acari10
Typhloplanidae,Acari1
Neotyphloplanida,Acari2
Dalyelliidae,Acari3
Gieysztoria1,Acari4
Gieysztoria2,Acari5
Sarscypridopsis1,Acari6
Sarscypridopsis2,Acari7
Sarscypridopsis3,Acari8
Sarscypridopsis gregoria,Acari9
Eucypris virens,Hydracarina1
Eucypris,Hydracarina2
Isocypris priomena,Hydracarina3
Heterocypris,Hydracarina4
Heterocypris incongruens,Prostigmata2
Zonocypris,Sminthuridae1
Cypridoidea,Sminthuridae2
Cypretta1,Sminthuridae3
Cypretta2,Sminthuridae4
Cypridopsinae,Sminthuridae5
Ramotha,Sminthuridae6
Megalocypris,Sminthuridae7
Limnocythere1,Sminthuridae8
Limnocythere2,Sminthurus
Bennelongia1,Dicyrtoma
Bennelongia2,Hypogastruridae1
Candonocypris1,Hypogastruridae2
Candonocypris2,Hypogastruridae3
Candonocypris3,Isotomidae1
Cypricercus,Isotomidae2
Ilyodromus1,Isotoma1
Ilyodromus2,Isotoma2
Ostracoda1,Entomobrya multifasciata
Ostracoda2,Poduridae
Ostracoda3,Nerthra
Ostracoda4,Belostoma
Ostracoda5,Microvelia
Ostracoda6,Mesoveliidae1
Ostracoda7,Mesoveliidae4
Ostracoda8,Mesoveliidae2
