Inselberg,Pool,Alpha,ASE,Biomass,Gamma,GSE,Depth,PC1,PC2
IVC,Ivor1,7.976190476190476,1.6383185307434538,5.88952095278673,103.992,23.433,45,-2.3956567202148986,-2.0092747061084033
IVC,Ivor2,8.970588235294118,2.471855868030383,38.1574215552848,103.992,23.433,5.6,-2.3956567202148986,-2.0092747061084033
IVC,Ivor3,7.75,2.6562224265567083,8.351566721447158,103.992,23.433,12,-2.3956567202148986,-2.0092747061084033
IVC,Ivor4,5.944444444444445,1.1257788175871613,0.7824182533245642,103.992,23.433,6,-2.3956567202148986,-2.0092747061084033
IVC,Ivor5,6,0.6069556380766259,7.381687851915521,103.992,23.433,9,-2.3956567202148986,-2.0092747061084033
IVC,Ivor6,45.76068376068376,17.37619751377799,24.070403367673563,103.992,23.433,42,-2.3956567202148986,-2.0092747061084033
IVC,Ivor7,4,0.591768177371876,47.64917491820662,103.992,23.433,53.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor8,3,0.2876234912646613,0.3261490089944044,103.992,23.433,5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor9,8.245833333333334,2.338136374040269,41.15777336286955,103.992,23.433,20,-2.3956567202148986,-2.0092747061084033
IVC,Ivor10,12.966101694915254,4.474178170548911,27.432179590411838,103.992,23.433,9,-2.3956567202148986,-2.0092747061084033
IVC,Ivor11,9.98473282442748,2.8887362415116575,16.859428397272993,103.992,23.433,5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor12,8.95945945945946,1.69952808232096,3.7512422044238214,103.992,23.433,5.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor13,26.967391304347828,10.038529274680801,78.41888562341971,103.992,23.433,11,-2.3956567202148986,-2.0092747061084033
IVC,Ivor14,5,0.36874502108731616,0.06542525053722276,103.992,23.433,7,-2.3956567202148986,-2.0092747061084033
IVC,Ivor15,8.879999999999999,2.429877163624332,1.1873191969814334,103.992,23.433,27,-2.3956567202148986,-2.0092747061084033
IVC,Ivor16,15.66225165562914,3.1514463185902803,24.264623421080703,103.992,23.433,27,-2.3956567202148986,-2.0092747061084033
IVC,Ivor17,2,0.2564323999762429,2.979957651512027,103.992,23.433,7,-2.3956567202148986,-2.0092747061084033
IVC,Ivor18,16.910714285714285,5.362057041079802,2.634317870400374,103.992,23.433,6.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor19,4,0.7512954315606613,20.152000291127823,103.992,23.433,8.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor20,2,0,12.829907361641974,103.992,23.433,5.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor21,25.71153846153846,8.817923585675365,38.47254549045338,103.992,23.433,9,-2.3956567202148986,-2.0092747061084033
IVC,Ivor22,13,1.726334067790497,47.28668278509782,103.992,23.433,42,-2.3956567202148986,-2.0092747061084033
IVC,Ivor23,0,0,0,103.992,23.433,2,-2.3956567202148986,-2.0092747061084033
IVC,Ivor24,4.498922413793103,1.4937985098609063,5.241554614270023,103.992,23.433,3,-2.3956567202148986,-2.0092747061084033
IVC,Ivor25,12.959183673469388,4.44260765094043,9.312075000278057,103.992,23.433,2.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor26,37.902702702702705,14.718670860874106,57.69472846672008,103.992,23.433,48,-2.3956567202148986,-2.0092747061084033
IVC,Ivor27,17.78723404255319,6.101216246790099,15.835333277642576,103.992,23.433,4.5,-2.3956567202148986,-2.0092747061084033
SPN,Spain1,3,0.25142556515759246,0.06367386887981752,8.909,3.584,16.5,0.12488184913153122,0.04854250252023554
SPN,Spain2,2,0.17144660799776537,0.8842653642392655,8.909,3.584,6.5,0.12488184913153122,0.04854250252023554
SPN,Spain3,2,0,0.5671905342024545,8.909,3.584,14,0.12488184913153122,0.04854250252023554
SPN,Spain4,0,0,0,8.909,3.584,3.8,0.12488184913153122,0.04854250252023554
SPN,Spain5,3.4615384615384617,1.2935050138470774,1.2212900764889525,8.909,3.584,3.7,0.12488184913153122,0.04854250252023554
SPN,Spain6,2,0,2.8969186523987758,8.909,3.584,4.9,0.12488184913153122,0.04854250252023554
SPN,Spain7,5.958333333333333,1.2968738773833481,1.2614611955685933,8.909,3.584,11.9,0.12488184913153122,0.04854250252023554
SPN,Spain8,3,0.10000000000000002,1.7510003181588274,8.909,3.584,4.3,0.12488184913153122,0.04854250252023554
SPN,Spain9,3,0.47609522856952335,4.971279858562586,8.909,3.584,4.3,0.12488184913153122,0.04854250252023554
SPN,Spain10,3,0.3015113445777637,3.510131412579129,8.909,3.584,3.7,0.12488184913153122,0.04854250252023554
SPN,Spain11,4,0.5573872093587111,0.17001805873071182,8.909,3.584,10.6,0.12488184913153122,0.04854250252023554
SPN,Spain12,3,0.4371914496377572,0.9183659597815778,8.909,3.584,3.7,0.12488184913153122,0.04854250252023554
SPN,Spain13,3,0.47454360162167114,0.07898832317784027,8.909,3.584,19.5,0.12488184913153122,0.04854250252023554
SPN,Spain14,2,0,0.02332252594278903,8.909,3.584,17.8,0.12488184913153122,0.04854250252023554
SPN,Spain15,2,0.21904291355759026,1.9259518087490612,8.909,3.584,6.9,0.12488184913153122,0.04854250252023554
SPN,Spain16,2,0.3144660377352202,0.10682778498457003,8.909,3.584,15.8,0.12488184913153122,0.04854250252023554
SPN,Spain17,10.415094339622641,4.053239299354655,7.342450639294328,8.909,3.584,6.1,0.12488184913153122,0.04854250252023554
SPN,Spain18,2,0,9.697082601276083,8.909,3.584,6.8,0.12488184913153122,0.04854250252023554
SPN,Spain19,2,0.10000000000000002,1.707306112957062,8.909,3.584,2.6,0.12488184913153122,0.04854250252023554
SPN,Spain20,2,0.2564323999762429,0.6438250679410881,8.909,3.584,5.3,0.12488184913153122,0.04854250252023554
SPN,Spain21,2,0.45126085985421305,1.9212043160797552,8.909,3.584,1.9,0.12488184913153122,0.04854250252023554
SPN,Spain22,2,0.47609522856952335,0.31600601414840573,8.909,3.584,2.6,0.12488184913153122,0.04854250252023554
KAM,Kam1,4.996666666666667,0.7961913003169129,311.84622944811247,25.697,9.384,30,-0.48978529773419016,1.4443256295365199
KAM,Kam2,4,0.4688261722621509,4.505655976141082,25.697,9.384,34,-0.48978529773419016,1.4443256295365199
KAM,Kam3,6.866666666666667,2.4136942483575217,0.2039388133896095,25.697,9.384,83,-0.48978529773419016,1.4443256295365199
KAM,Kam4,2,0,1.824897940055012,25.697,9.384,37,-0.48978529773419016,1.4443256295365199
KAM,Kam5,3,0.35710467949968394,1.8729048053769377,25.697,9.384,78,-0.48978529773419016,1.4443256295365199
KAM,Kam6,8.930232558139535,2.6859080653422303,0.33708989702677133,25.697,9.384,97,-0.48978529773419016,1.4443256295365199
KAM,Kam7,5.472222222222222,1.5498540883958623,0.1472016061917563,25.697,9.384,22,-0.48978529773419016,1.4443256295365199
KAM,Kam8,4.962962962962963,0.729630389246463,0.4607919031535806,25.697,9.384,26,-0.48978529773419016,1.4443256295365199
KAM,Kam9,0,0,0,25.697,9.384,21,-0.48978529773419016,1.4443256295365199
KAM,Kam10,2,0,0.884913512056464,25.697,9.384,29.2,-0.48978529773419016,1.4443256295365199
KAM,Kam12,6.985714285714286,0.6725551668703642,2.180040607656628,25.697,9.384,66,-0.48978529773419016,1.4443256295365199
SWE,Swed1,1,0,0.00618238171318851,8.635,1.255,80,1.616112772240559,0.10388145179885902
SWE,Swed2,0,0,0,8.635,1.255,7.000000000000001,1.616112772240559,0.10388145179885902
SWE,Swed3,3.4285714285714284,1.3704632244602633,124.85933938394,8.635,1.255,20,1.616112772240559,0.10388145179885902
SWE,Swed4,0,0,0,8.635,1.255,45,1.616112772240559,0.10388145179885902
SWE,Swed5,1,0,0.00618238171318851,8.635,1.255,30,1.616112772240559,0.10388145179885902
SWE,Swed6,1,0,0.01236476342637702,8.635,1.255,20,1.616112772240559,0.10388145179885902
SWE,Swed7,0,0,0,8.635,1.255,40,1.616112772240559,0.10388145179885902
SWE,Swed8,3,0.4434055714315904,2.2170557181978907,8.635,1.255,10,1.616112772240559,0.10388145179885902
SWE,Swed9,4.235294117647059,1.8309423562850071,7.596673513531739,8.635,1.255,10,1.616112772240559,0.10388145179885902
SWE,Swed10,6,0.16624119957381264,48.70595018165838,8.635,1.255,10,1.616112772240559,0.10388145179885902
SWE,Swed11,0,0,0,8.635,1.255,30,1.616112772240559,0.10388145179885902
SWE,Swed12,0,0,0,8.635,1.255,40,1.616112772240559,0.10388145179885902
SWE,Swed13,2,0.17144660799776537,1.0928077697896572,8.635,1.255,25,1.616112772240559,0.10388145179885902
SWE,Swed14,0,0,0,8.635,1.255,15,1.616112772240559,0.10388145179885902
SWE,Swed15,0,0,0,8.635,1.255,15,1.616112772240559,0.10388145179885902
SWE,Swed16,0,0,0,8.635,1.255,25,1.616112772240559,0.10388145179885902
SWE,Swed17,0,0,0,8.635,1.255,15,1.616112772240559,0.10388145179885902
SWE,Swed18,0,0,0,8.635,1.255,30,1.616112772240559,0.10388145179885902
SWE,Swed19,2,0.4688261722621507,0.29433758782700126,8.635,1.255,20,1.616112772240559,0.10388145179885902
SWE,Swed20,2,0.48241815132442184,1.9252778428339323,8.635,1.255,20,1.616112772240559,0.10388145179885902
SWE,Swed21,2,0.49888765156985887,0.23869615240830463,8.635,1.255,15,1.616112772240559,0.10388145179885902
FRA,Fran1,2,0.2726599243442908,0.2735037411358442,18.727,6.207,21,1.0439039614147418,-0.3236683341876717
FRA,Fran2,3,0,2.0222993272052916,18.727,6.207,4,1.0439039614147418,-0.3236683341876717
FRA,Fran3,2,0.4793724854411022,0.07123042687572294,18.727,6.207,17,1.0439039614147418,-0.3236683341876717
FRA,Fran4,3,0.3942772444036626,18.459744171572357,18.727,6.207,2.5,1.0439039614147418,-0.3236683341876717
FRA,Fran5,2,0,10.801576163176822,18.727,6.207,10,1.0439039614147418,-0.3236683341876717
