Inselberg,Pool,Alpha,ASE,Biomass,Gamma,GSE,Depth,PC1,PC2
IVC,Ivor1,16.99991681224524,1.3082876424155438,70.94997390423478,122.757,18.401,45,-2.3956567202148986,-2.0092747061084033
IVC,Ivor2,11.99090909090909,2.493866863399711,38.21736592573526,122.757,18.401,5.6,-2.3956567202148986,-2.0092747061084033
IVC,Ivor3,10.975206611570247,2.7116651904388585,8.436115979068338,122.757,18.401,12,-2.3956567202148986,-2.0092747061084033
IVC,Ivor4,8.925925925925926,2.17527842192111,0.7836833205003783,122.757,18.401,6,-2.3956567202148986,-2.0092747061084033
IVC,Ivor5,14.999441964285714,2.552112030055051,8.165084125398737,122.757,18.401,9,-2.3956567202148986,-2.0092747061084033
IVC,Ivor6,61.988672120830714,23.132278964687746,24.26227214491876,122.757,18.401,42,-2.3956567202148986,-2.0092747061084033
IVC,Ivor7,8,0.5873810839185521,91.19802464622586,122.757,18.401,53.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor8,5,0.3144660377352202,0.33733843509285877,122.757,18.401,5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor9,8.245833333333334,2.1239031142006617,41.15777336286955,122.757,18.401,20,-2.3956567202148986,-2.0092747061084033
IVC,Ivor10,17.984848484848484,3.9131757499184814,27.887902571967174,122.757,18.401,9,-2.3956567202148986,-2.0092747061084033
IVC,Ivor11,14.99660441426146,2.3145073203982354,19.040696341113904,122.757,18.401,5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor12,19.967741935483872,7.459834373285182,17.675222297028515,122.757,18.401,5.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor13,32.99899006901195,8.730611417322296,80.60427403576125,122.757,18.401,11,-2.3956567202148986,-2.0092747061084033
IVC,Ivor14,13,0.8599118069750453,4.572418284282738,122.757,18.401,7,-2.3956567202148986,-2.0092747061084033
IVC,Ivor15,13.98828125,3.4993435317523107,1.4190513431405198,122.757,18.401,27,-2.3956567202148986,-2.0092747061084033
IVC,Ivor16,24.49898442789438,4.946551643061683,25.87738526581048,122.757,18.401,27,-2.3956567202148986,-2.0092747061084033
IVC,Ivor17,6,0.7163822826954783,23.3366360345648,122.757,18.401,7,-2.3956567202148986,-2.0092747061084033
IVC,Ivor18,24.99729510413849,5.755788825047482,10.01526519476389,122.757,18.401,6.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor19,9,0.9363801519217729,20.58660466667924,122.757,18.401,8.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor20,3,0,25.957147903024715,122.757,18.401,5.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor21,29.95774647887324,10.122104888592242,38.571812624208704,122.757,18.401,9,-2.3956567202148986,-2.0092747061084033
IVC,Ivor22,17,2.562009761791261,47.36141348213347,122.757,18.401,42,-2.3956567202148986,-2.0092747061084033
IVC,Ivor23,10,0.495874889661192,101.55075485788264,122.757,18.401,2,-2.3956567202148986,-2.0092747061084033
IVC,Ivor24,6.499241274658574,1.2375028508836696,5.909459672360749,122.757,18.401,3,-2.3956567202148986,-2.0092747061084033
IVC,Ivor25,20.99671951886277,8.32194884223805,16.879862509484475,122.757,18.401,2.5,-2.3956567202148986,-2.0092747061084033
IVC,Ivor26,45.99792411486564,13.387346884890684,58.56114378470619,122.757,18.401,48,-2.3956567202148986,-2.0092747061084033
IVC,Ivor27,20.952830188679243,5.064162339349794,15.913280092420644,122.757,18.401,4.5,-2.3956567202148986,-2.0092747061084033
SPN,Spain1,10,0.3247880752449537,5.5313871190473565,32.591,9.731,16.5,0.12488184913153122,0.04854250252023554
SPN,Spain2,6,0.7112183924306246,3.6326136789371293,32.591,9.731,6.5,0.12488184913153122,0.04854250252023554
SPN,Spain3,9,0.4117850601956745,3.092309714276832,32.591,9.731,14,0.12488184913153122,0.04854250252023554
SPN,Spain4,5,0.0999999999999998,0.46421637565965584,32.591,9.731,3.8,0.12488184913153122,0.04854250252023554
SPN,Spain5,7.499888913574761,1.3082822816346678,1.4012208241504276,32.591,9.731,3.7,0.12488184913153122,0.04854250252023554
SPN,Spain6,8,0.20418171384614595,4.429243797481536,32.591,9.731,4.9,0.12488184913153122,0.04854250252023554
SPN,Spain7,14.9945155393053,3.118631972856693,2.518481215908029,32.591,9.731,11.9,0.12488184913153122,0.04854250252023554
SPN,Spain8,5,0.07034145689046568,1.9390302269866138,32.591,9.731,4.3,0.12488184913153122,0.04854250252023554
SPN,Spain9,7.49746192893401,1.3519033472779034,18.063456068208783,32.591,9.731,4.3,0.12488184913153122,0.04854250252023554
SPN,Spain10,9,0.660483810689303,10.470106263614293,32.591,9.731,3.7,0.12488184913153122,0.04854250252023554
SPN,Spain11,9,0.7275173561723783,6.585107403450683,32.591,9.731,10.6,0.12488184913153122,0.04854250252023554
SPN,Spain12,9.4998821866164,1.216385841237954,14.880256634346392,32.591,9.731,3.7,0.12488184913153122,0.04854250252023554
SPN,Spain13,11,0.6797710345723332,1.8430756468302694,32.591,9.731,19.5,0.12488184913153122,0.04854250252023554
SPN,Spain14,10,0.1575212451547969,0.8922011310846438,32.591,9.731,17.8,0.12488184913153122,0.04854250252023554
SPN,Spain15,6,0.31467762580854486,18.238291177626593,32.591,9.731,6.9,0.12488184913153122,0.04854250252023554
SPN,Spain16,6,0.47852072427722936,0.408855190336736,32.591,9.731,15.8,0.12488184913153122,0.04854250252023554
SPN,Spain17,17.99913588248002,8.266239337182512,10.5285835449142,32.591,9.731,6.1,0.12488184913153122,0.04854250252023554
SPN,Spain18,6,0.5982336158529833,12.050077544537594,32.591,9.731,6.8,0.12488184913153122,0.04854250252023554
SPN,Spain19,6,0.19999759503762352,2.6121337442967802,32.591,9.731,2.6,0.12488184913153122,0.04854250252023554
SPN,Spain20,5,0.3502851585105129,0.958783275278579,32.591,9.731,5.3,0.12488184913153122,0.04854250252023554
SPN,Spain21,5,0.6839921744238949,1.997642308607336,32.591,9.731,1.9,0.12488184913153122,0.04854250252023554
SPN,Spain22,5.999047619047619,1.498263595642709,0.4387945300219864,32.591,9.731,2.6,0.12488184913153122,0.04854250252023554
KAM,Kam1,9.999920660107902,0.7037009568433216,352.4995115478761,63.894,14.648,30,-0.48978529773419016,1.4443256295365199
KAM,Kam2,11,0.7258100611386485,12.628006187632149,63.894,14.648,34,-0.48978529773419016,1.4443256295365199
KAM,Kam3,17.49972331529759,4.733191655254247,0.6343005886600548,63.894,14.648,83,-0.48978529773419016,1.4443256295365199
