Inselberg ;Gamma;Biomass(median);PC1;PC2;Depth(median);Slope;SSE;Meanlogbiomass;MBSE;Meanlogdepth;MDSE;Meanlogbiomass2;Meanlogdepth2;GSE;Prominence
IVC;100.88;14.33262032;-2.311085653;-2.143807399;8.5;1.2789;0.4507;2.2005623;0.3378567;2.375397;0.17885956;2.3593768;3.195802;22.076;13
SPN;8.905;1.221290076;0.071264127;-0.12392595;5.7;1.1577;1.0608;-0.2096461;0.3559101;1.860477;0.1518646;-2.8218273;2.853246;3.576;171
KAM;25.6;0.719109347;-0.38449362;1.455776296;37;-0.7614;1.316;0.3765835;0.69269;3.78017;0.17282781;0.8393902;3.376964;9.295;77
SWE;8.606;1.09280777;1.611566707;0.091461245;20;7.6419;1.4067;-0.4490848;1.026675;2.963712;0.18213005;-0.8551626;3.1005;1.21;1
FRA;18.7;2.270715184;0.971672129;-0.250732004;8.75;1.46;1.1544;0.8793354;0.3694827;2.088464;0.1532226;-1.3289113;2.950498;6.18;25
USA;5;4.04327764;1.722636396;-1.704810037;9;2.8448;1.0939;1.0248285;0.3276556;2.210575;0.14450561;0.6582199;3.149228;0.473;11
KOR;10.969;0.750207595;-0.011807106;-0.093748636;23;1.1956;0.662;-0.7880781;0.3315744;3.114962;0.06995633;-0.9808989;3.205634;1.821;319
SWA;81.87;0.155271654;-0.275988133;1.027243307;11;-0.5438;0.756;-1.73765;0.4003348;2.384757;0.1388743;-2.3372261;3.31312;68.004;57
NWA;21.99;0.024384826;-0.58221594;1.498284133;13;3.0047;0.8225;-3.1338421;0.3969987;2.57361;0.0980865;-2.1872016;3.053927;7.254;34
MAL;27.014;2.939696141;-0.811548907;0.244259046;8.5;0.3716;0.5665;1.0556906;0.1990289;2.353317;0.14058647;1.3071309;3.205718;2.436;38
