Inselberg,Pool,Depth
IVC,Ivor1,45
IVC,Ivor2,5.6
IVC,Ivor3,12
IVC,Ivor4,6
IVC,Ivor5,9
IVC,Ivor6,42
IVC,Ivor7,53.5
IVC,Ivor8,5
IVC,Ivor9,20
IVC,Ivor10,9
IVC,Ivor11,5
IVC,Ivor12,5.5
IVC,Ivor13,11
IVC,Ivor14,7
IVC,Ivor15,27
IVC,Ivor16,27
IVC,Ivor17,7
IVC,Ivor18,6.5
IVC,Ivor19,8.5
IVC,Ivor20,5.5
IVC,Ivor21,9
IVC,Ivor22,42
IVC,Ivor23,2
IVC,Ivor24,3
IVC,Ivor25,2.5
IVC,Ivor26,48
IVC,Ivor27,4.5
SPN,Spain1,16.5
SPN,Spain2,6.5
SPN,Spain3,14
SPN,Spain4,3.8
SPN,Spain5,3.7
SPN,Spain6,4.9
SPN,Spain7,11.9
SPN,Spain8,4.3
SPN,Spain9,4.3
SPN,Spain10,3.7
SPN,Spain11,10.6
SPN,Spain12,3.7
SPN,Spain13,19.5
SPN,Spain14,17.8
SPN,Spain15,6.9
SPN,Spain16,15.8
SPN,Spain17,6.1
SPN,Spain18,6.8
SPN,Spain19,2.6
SPN,Spain20,5.3
SPN,Spain21,1.9
SPN,Spain22,2.6
KAM,Kam1,30
KAM,Kam2,34
KAM,Kam3,83
KAM,Kam4,37
KAM,Kam5,78
KAM,Kam6,97
KAM,Kam7,22
KAM,Kam8,26
KAM,Kam9,21
KAM,Kam10,29.2
KAM,Kam11,320
KAM,Kam12,66
SWE,Swed1,80
SWE,Swed2,7.000000000000001
SWE,Swed3,20
SWE,Swed4,45
SWE,Swed5,30
SWE,Swed6,20
SWE,Swed7,40
SWE,Swed8,10
SWE,Swed9,10
SWE,Swed10,10
SWE,Swed11,30
SWE,Swed12,40
SWE,Swed13,25
SWE,Swed14,15
SWE,Swed15,15
SWE,Swed16,25
SWE,Swed17,15
SWE,Swed18,30
SWE,Swed19,20
SWE,Swed20,20
SWE,Swed21,15
FRA,Fran1,21
FRA,Fran2,4
FRA,Fran3,17
FRA,Fran4,2.5
FRA,Fran5,10
FRA,Fran6,8
FRA,Fran7,4
FRA,Fran8,11.5
FRA,Fran9,11.5
FRA,Fran10,7.5
FRA,Fran11,7
FRA,Fran12,2
FRA,Fran13,14
FRA,Fran14,9.5
FRA,Fran15,7
FRA,Fran16,5
FRA,Fran17,4
FRA,Fran18,17
FRA,Fran19,22
FRA,Fran20,12.5
FRA,Fran21,26.5
FRA,Fran22,12.5
USA,App1,31.5
USA,App2,4
USA,App3,3.5
USA,App4,7
USA,App5,23
USA,App6,8.5
USA,App7,9
USA,App8,9.5
USA,App9,7
USA,App10,8
USA,App11,12.5
USA,App12,5.5
USA,App13,9
USA,App14,NA
USA,App15,2
USA,App16,5
USA,App17,6
USA,App18,10.5
USA,App19,11
USA,App20,17.5
USA,App21,13.5
USA,App22,7
USA,App23,14
USA,App24,42
COL,Col1,2.9
COL,Col2,10
COL,Col3,5
COL,Col4,4.5
COL,Col5,20
COL,Col6,35
COL,Col7,50
COL,Col8,2
COL,Col9,2
COL,Col10,4.9
COL,Col11,6.3
COL,Col12,32.5
COL,Col13,4.5
COL,Col14,36.2
COL,Col15,5
COL,Col16,5
COL,Col17,100
COL,Col18,5.3
COL,Col19,4.5
KOR,Kor1,15
KOR,Kor2,5.5
KOR,Kor3,24
KOR,Kor4,24
KOR,Kor5,27.5
KOR,Kor6,37
KOR,Kor7,31
KOR,Kor8,31
KOR,Kor9,17
KOR,Kor10,27
KOR,Kor11,25.5
KOR,Kor12,34
KOR,Kor13,8.5
KOR,Kor14,32
KOR,Kor15,10
KOR,Kor16,23
KOR,Kor17,23
KOR,Kor18,24
KOR,Kor19,4.5
KOR,Kor20,21
KOR,Kor21,28
KOR,Kor22,37
KOR,Kor23,21
KOR,Kor24,18
KOR,Kor25,22
KOR,Kor26,25.7
KOR,Kor27,34
