Inselberg;Pool;Alpha;Biomass;Depth;Gamma;PC1;PC2;ASE;GSE
IVC;Ivor1;16.99991681;70.9499739;45;129.37;-2.311085653;-2.143807399;1.398568609;17.54
IVC;Ivor2;11.991;38.21736593;5.6;129.37;-2.311085653;-2.143807399;2.459868058;17.54
IVC;Ivor3;10.975;8.436115979;12;129.37;-2.311085653;-2.143807399;2.012240441;17.54
IVC;Ivor4;8.926;0.783683321;6;129.37;-2.311085653;-2.143807399;2.206433272;17.54
IVC;Ivor5;14.999;8.165084125;9;129.37;-2.311085653;-2.143807399;3.608915725;17.54
IVC;Ivor6;61.989;24.26227214;42;129.37;-2.311085653;-2.143807399;19.12495321;17.54
IVC;Ivor7;8;91.19802465;53.5;129.37;-2.311085653;-2.143807399;0.628688088;17.54
IVC;Ivor8;5;0.337338435;5;129.37;-2.311085653;-2.143807399;0.301511345;17.54
IVC;Ivor9;8.246;41.15777336;20;129.37;-2.311085653;-2.143807399;2.120112002;17.54
IVC;Ivor10;17.985;27.88790257;9;129.37;-2.311085653;-2.143807399;6.385740076;17.54
IVC;Ivor11;14.997;19.04069634;5;129.37;-2.311085653;-2.143807399;3.256468127;17.54
IVC;Ivor12;19.968;17.6752223;5.5;129.37;-2.311085653;-2.143807399;6.204115423;17.54
IVC;Ivor13;32.999;80.60427404;11;129.37;-2.311085653;-2.143807399;8.130304034;17.54
IVC;Ivor14;13;4.572418284;7;129.37;-2.311085653;-2.143807399;0.848865433;17.54
IVC;Ivor15;13.988;1.419051343;27;129.37;-2.311085653;-2.143807399;2.536791394;17.54
IVC;Ivor16;24.499;25.87738527;27;129.37;-2.311085653;-2.143807399;4.700256176;17.54
IVC;Ivor17;6;23.33663603;7;129.37;-2.311085653;-2.143807399;0.604665571;17.54
IVC;Ivor18;24.997;10.01526519;6.5;129.37;-2.311085653;-2.143807399;4.196875578;17.54
IVC;Ivor19;9;20.58660467;8.5;129.37;-2.311085653;-2.143807399;0.669008823;17.54
IVC;Ivor20;3;25.9571479;5.5;129.37;-2.311085653;-2.143807399;0;17.54
IVC;Ivor21;29.958;38.57181262;9;129.37;-2.311085653;-2.143807399;9.486848257;17.54
IVC;Ivor22;17;47.36141348;42;129.37;-2.311085653;-2.143807399;2.118688366;17.54
IVC;Ivor23;10;101.5507549;2;129.37;-2.311085653;-2.143807399;0.482212905;17.54
IVC;Ivor24;6.499;5.909459672;3;129.37;-2.311085653;-2.143807399;1.361018195;17.54
IVC;Ivor25;20.997;16.87986251;2.5;129.37;-2.311085653;-2.143807399;8.033419181;17.54
IVC;Ivor26;45.998;58.56114378;48;129.37;-2.311085653;-2.143807399;14.31123964;17.54
IVC;Ivor27;20.953;15.91328009;4.5;129.37;-2.311085653;-2.143807399;5.839909521;17.54
SPN;Spain1;10;5.531387119;16.5;32.591;0.071264127;-0.12392595;0.454881994;9.731
SPN;Spain2;6;3.632613679;6.5;32.591;0.071264127;-0.12392595;0.835680504;9.731
SPN;Spain3;9;3.092309714;14;32.591;0.071264127;-0.12392595;0.403719332;9.731
SPN;Spain4;5;0.464216376;3.8;32.591;0.071264127;-0.12392595;0.1;9.731
SPN;Spain5;7.5;1.401220824;3.7;32.591;0.071264127;-0.12392595;1.319383294;9.731
SPN;Spain6;8;4.429243797;4.9;32.591;0.071264127;-0.12392595;0.049983834;9.731
SPN;Spain7;14.995;2.518481216;11.9;32.591;0.071264127;-0.12392595;3.231863643;9.731
SPN;Spain8;5;1.939030227;4.3;32.591;0.071264127;-0.12392595;0.196946386;9.731
SPN;Spain9;7.497;18.06345607;4.3;32.591;0.071264127;-0.12392595;1.343092064;9.731
SPN;Spain10;9;10.47010626;3.7;32.591;0.071264127;-0.12392595;0.778577927;9.731
SPN;Spain11;9;6.585107403;10.6;32.591;0.071264127;-0.12392595;0.82722841;9.731
SPN;Spain12;9.5;14.88025663;3.7;32.591;0.071264127;-0.12392595;1.755918035;9.731
SPN;Spain13;11;1.843075647;19.5;32.591;0.071264127;-0.12392595;0.652226633;9.731
SPN;Spain14;10;0.892201131;17.8;32.591;0.071264127;-0.12392595;0.2061198;9.731
SPN;Spain15;6;18.23829118;6.9;32.591;0.071264127;-0.12392595;0.279556211;9.731
SPN;Spain16;6;0.40885519;15.8;32.591;0.071264127;-0.12392595;0.58127618;9.731
SPN;Spain17;17.999;10.52858354;6.1;32.591;0.071264127;-0.12392595;6.427907586;9.731
SPN;Spain18;6;12.05007754;6.8;32.591;0.071264127;-0.12392595;0.653123378;9.731
SPN;Spain19;6;2.612133744;2.6;32.591;0.071264127;-0.12392595;0.248782457;9.731
SPN;Spain20;5;0.958783275;5.3;32.591;0.071264127;-0.12392595;0.401097808;9.731
SPN;Spain21;5;1.997642309;1.9;32.591;0.071264127;-0.12392595;0.677462713;9.731
SPN;Spain22;5.999;0.43879453;2.6;32.591;0.071264127;-0.12392595;1.135715649;9.731
KAM;Kam1;10;352.4995115;30;63.894;-0.38449362;1.455776296;0.583863022;14.648
KAM;Kam2;11;12.62800619;34;63.894;-0.38449362;1.455776296;0.625279167;14.648
KAM;Kam3;17.5;0.634300589;83;63.894;-0.38449362;1.455776296;4.64129292;14.648
KAM;Kam4;8;4.970463584;37;63.894;-0.38449362;1.455776296;0;14.648
KAM;Kam5;11;2.306768328;78;63.894;-0.38449362;1.455776296;0.603667243;14.648
KAM;Kam6;16.498;0.405239063;97;63.894;-0.38449362;1.455776296;3.828355271;14.648
KAM;Kam7;15;1.151913794;22;63.894;-0.38449362;1.455776296;2.615637556;14.648
KAM;Kam8;15;2.335450248;26;63.894;-0.38449362;1.455776296;0.612726558;14.648
KAM;Kam9;7;132.7401713;21;63.894;-0.38449362;1.455776296;0;14.648
KAM;Kam10;9;21.07431495;29.2;63.894;-0.38449362;1.455776296;0.625170087;14.648
KAM;Kam12;16;3.707309993;66;63.894;-0.38449362;1.455776296;3.2786824;14.648
SWE;Swed1;5.99;1.603950776;80;38.133;1.611566707;0.091461245;0.405379254;9.783
SWE;Swed2;4;1.769633529;7;38.133;1.611566707;0.091461245;0.219042914;9.783
SWE;Swed3;8.943;126.0343119;20;38.133;1.611566707;0.091461245;2.616958008;9.783
SWE;Swed4;2;0.128152608;45;38.133;1.611566707;0.091461245;0.49431107;9.783
SWE;Swed5;3.984;0.082002368;30;38.133;1.611566707;0.091461245;0.472622701;9.783
SWE;Swed6;4.499;3.453195033;20;38.133;1.611566707;0.091461245;1.481717439;9.783
SWE;Swed7;5;2.795658022;40;38.133;1.611566707;0.091461245;0.440844002;9.783
SWE;Swed8;13;117.0210463;10;38.133;1.611566707;0.091461245;0.58001003;9.783
