Inselberg;Pool;Alpha;Biomass;Depth;Gamma;PC1;PC2;ASE;GSE
IVC;Ivor1;9;65.06045295;45;26.404;-2.311085653;-2.143807399;0.011;2.86
IVC;Ivor2;3;0.05994437;5.6;26.404;-2.311085653;-2.143807399;0.007;2.86
IVC;Ivor3;3;0.084549258;12;26.404;-2.311085653;-2.143807399;0.002;2.86
IVC;Ivor4;2;0.001265067;6;26.404;-2.311085653;-2.143807399;0.331;2.86
IVC;Ivor5;9.99;0.783396273;9;26.404;-2.311085653;-2.143807399;3.74;2.86
IVC;Ivor6;8;0.191868777;42;26.404;-2.311085653;-2.143807399;0.482;2.86
IVC;Ivor7;4;43.54884973;53.5;26.404;-2.311085653;-2.143807399;0;2.86
IVC;Ivor8;2;0.011189426;5;26.404;-2.311085653;-2.143807399;0;2.86
IVC;Ivor10;5;0.455722982;9;26.404;-2.311085653;-2.143807399;0.333;2.86
IVC;Ivor11;5;2.181267944;5;26.404;-2.311085653;-2.143807399;0.05;2.86
IVC;Ivor12;6.497;13.92398009;5.5;26.404;-2.311085653;-2.143807399;1.316;2.86
IVC;Ivor13;6;2.185388412;11;26.404;-2.311085653;-2.143807399;0;2.86
IVC;Ivor14;8;4.506993034;7;26.404;-2.311085653;-2.143807399;0.288;2.86
IVC;Ivor15;5;0.231732146;27;26.404;-2.311085653;-2.143807399;0.137;2.86
IVC;Ivor16;8;1.612761845;27;26.404;-2.311085653;-2.143807399;0.482;2.86
IVC;Ivor17;4;20.35667838;7;26.404;-2.311085653;-2.143807399;0.404;2.86
IVC;Ivor18;8;7.380947324;6.5;26.404;-2.311085653;-2.143807399;0.004;2.86
IVC;Ivor19;5;0.434604376;8.5;26.404;-2.311085653;-2.143807399;0.134;2.86
IVC;Ivor20;1;13.12724054;5.5;26.404;-2.311085653;-2.143807399;0;2.86
IVC;Ivor21;4;0.099267134;9;26.404;-2.311085653;-2.143807399;0.002;2.86
IVC;Ivor22;4;0.074730697;42;26.404;-2.311085653;-2.143807399;0.018;2.86
IVC;Ivor23;10;101.5507549;2;26.404;-2.311085653;-2.143807399;0.369;2.86
IVC;Ivor24;2;0.667905058;3;26.404;-2.311085653;-2.143807399;0;2.86
IVC;Ivor25;8.66;7.567787509;2.5;26.404;-2.311085653;-2.143807399;1.305;2.86
IVC;Ivor26;8;0.866415318;48;26.404;-2.311085653;-2.143807399;0;2.86
IVC;Ivor27;3;0.077946815;4.5;26.404;-2.311085653;-2.143807399;0;2.86
SPN;Spain1;7;5.46771325;16.5;24.636;0.071264127;-0.12392595;0.082;11.147
SPN;Spain2;4;2.748348315;6.5;24.636;0.071264127;-0.12392595;0.479;11.147
SPN;Spain3;7;2.52511918;14;24.636;0.071264127;-0.12392595;0.367;11.147
SPN;Spain4;5;0.464216376;3.8;24.636;0.071264127;-0.12392595;0.134;11.147
SPN;Spain5;4;0.179930748;3.7;24.636;0.071264127;-0.12392595;0.018;11.147
SPN;Spain6;6;1.532325145;4.9;24.636;0.071264127;-0.12392595;0.07;11.147
SPN;Spain7;7;1.25702002;11.9;24.636;0.071264127;-0.12392595;0.529;11.147
SPN;Spain8;2;0.188029909;4.3;24.636;0.071264127;-0.12392595;0.03;11.147
SPN;Spain9;4;13.09217621;4.3;24.636;0.071264127;-0.12392595;0.343;11.147
SPN;Spain10;6;6.959974851;3.7;24.636;0.071264127;-0.12392595;0.367;11.147
SPN;Spain11;5;6.415089345;10.6;24.636;0.071264127;-0.12392595;0.217;11.147
SPN;Spain12;6;13.96189067;3.7;24.636;0.071264127;-0.12392595;0.482;11.147
SPN;Spain13;8;1.764087324;19.5;24.636;0.071264127;-0.12392595;0.217;11.147
SPN;Spain14;8;0.868878605;17.8;24.636;0.071264127;-0.12392595;0.137;11.147
SPN;Spain15;4;16.31233937;6.9;24.636;0.071264127;-0.12392595;0.134;11.147
SPN;Spain16;4;0.302027405;15.8;24.636;0.071264127;-0.12392595;0.222;11.147
SPN;Spain17;4;3.186132906;6.1;24.636;0.071264127;-0.12392595;0.482;11.147
SPN;Spain18;4;2.352994943;6.8;24.636;0.071264127;-0.12392595;0.503;11.147
SPN;Spain19;4;0.904827631;2.6;24.636;0.071264127;-0.12392595;0.134;11.147
SPN;Spain20;3;0.314958207;5.3;24.636;0.071264127;-0.12392595;0.082;11.147
SPN;Spain21;3;0.076437993;1.9;24.636;0.071264127;-0.12392595;0.217;11.147
SPN;Spain22;3;0.122788516;2.6;24.636;0.071264127;-0.12392595;0.489;11.147
KAM;Kam1;5;40.6532821;30;38.273;-0.38449362;1.455776296;0;11.376
KAM;Kam2;7;8.122350211;34;38.273;-0.38449362;1.455776296;0.232;11.376
KAM;Kam3;8;0.430361775;83;38.273;-0.38449362;1.455776296;0.503;11.376
KAM;Kam4;6;3.145565644;37;38.273;-0.38449362;1.455776296;0;11.376
KAM;Kam5;8;0.433863523;78;38.273;-0.38449362;1.455776296;0.157;11.376
KAM;Kam6;9;0.068149166;97;38.273;-0.38449362;1.455776296;0.592;11.376
KAM;Kam7;8;1.004712188;22;38.273;-0.38449362;1.455776296;0.529;11.376
KAM;Kam8;10;1.874658345;26;38.273;-0.38449362;1.455776296;0.007;11.376
KAM;Kam9;7;132.7401713;21;38.273;-0.38449362;1.455776296;0.001;11.376
KAM;Kam10;7;20.18940143;29.2;38.273;-0.38449362;1.455776296;0.427;11.376
KAM;Kam12;7;1.527269385;66;38.273;-0.38449362;1.455776296;0.536;11.376
SWE;Swed1;4;1.597768394;80;34.25;1.611566707;0.091461245;0.481;13.02
SWE;Swed2;4;1.769633529;7;34.25;1.611566707;0.091461245;0.217;13.02
SWE;Swed3;4;1.174972515;20;34.25;1.611566707;0.091461245;0.52;13.02
SWE;Swed4;2;0.128152608;45;34.25;1.611566707;0.091461245;0.476;13.02
SWE;Swed5;2;0.075819986;30;34.25;1.611566707;0.091461245;0.48;13.02
SWE;Swed6;3;3.440830269;20;34.25;1.611566707;0.091461245;0.485;13.02
SWE;Swed7;5;2.795658022;40;34.25;1.611566707;0.091461245;0.481;13.02
SWE;Swed8;10;114.8039906;10;34.25;1.611566707;0.091461245;0.018;13.02
SWE;Swed9;8;61.38804129;10;34.25;1.611566707;0.091461245;0.001;13.02
SWE;Swed10;10;26.03680392;10;34.25;1.611566707;0.091461245;0.19;13.02
SWE;Swed11;6;2.819280943;30;34.25;1.611566707;0.091461245;0.342;13.02
SWE;Swed12;3;0.960897048;40;34.25;1.611566707;0.091461245;0.134;13.02
SWE;Swed13;5;5.322818655;25;34.25;1.611566707;0.091461245;0.528;13.02
SWE;Swed14;5;23.58010348;15;34.25;1.611566707;0.091461245;0.082;13.02
SWE;Swed15;4;0.542127116;15;34.25;1.611566707;0.091461245;0.482;13.02
SWE;Swed16;1.99;2.231507076;25;34.25;1.611566707;0.091461245;3.732;13.02
SWE;Swed18;6.24;0.147346248;30;34.25;1.611566707;0.091461245;0.715;13.02
SWE;Swed19;8;1.340746034;20;34.25;1.611566707;0.091461245;0.217;13.02
SWE;Swed20;7;0.614444099;20;34.25;1.611566707;0.091461245;0.369;13.02
SWE;Swed21;10;2.90658558;15;34.25;1.611566707;0.091461245;0.083;13.02
FRA;Fran1;4;0.64887276;21;18.263;0.971672129;-0.250732004;0;6.832
