Inselberg ;Gamma;Biomass(median);PC1;PC2;Depth(median);Slope;SSE;Meanlogbiomass;MBSE;Meanlogdepth;MDSE;Meanlogbiomass2;Meanlogdepth2;GSE;Prominence
IVC;26.404;0.824905796;-2.311085653;-2.143807399;8.5;2.3124;0.6369;-0.04113773;0.5423024;2.286836;0.18825194;-0.49211249;3.295837;2.86;13
SPN;24.636;1.648206234;0.071264127;-0.12392595;5.7;2.8153;1.1531;0.32988553;0.3409769;1.836592;0.14675401;0.23217614;2.853246;11.147;171
KAM;38.273;1.527269385;-0.38449362;1.455776296;37;-6.9772;3.148;1.04833114;0.6705767;3.713293;0.17003288;2.21033883;3.329472;11.376;77
SWE;34.25;2.000570302;1.611566707;0.091461245;20;1.8503;0.8241;0.79640257;0.4335475;3.058427;0.1342256;0.02443834;3.180475;13.02;1
FRA;18.263;2.274831554;0.971672129;-0.250732004;8.75;1.5784;0.5715;0.90630576;0.4868969;2.095966;0.16131705;0.92762165;2.950498;6.832;25
USA;8.479;0.735236046;1.722636396;-1.704810037;9;3.8223;0.7182;-1.13064562;0.6549616;2.210575;0.14450561;-1.68278081;3.149228;1.276;11
KOR;23.368;1.694276634;-0.011807106;-0.093748636;23;-0.6067;0.6271;0.18865857;0.3304376;3.069439;0.08111965;-0.05241375;3.204715;6.991;319
SWA;32.383;1.41883122;-0.275988133;1.027243307;11;-1.1876;1.4569;0.40810962;0.2554025;2.384757;0.1388743;-0.28302059;3.31312;0.839;57
NWA;21.479;6.59847648;-0.58221594;1.498284133;13;1.7639;0.6011;2.08406007;0.4246805;2.57361;0.0980865;3.66987026;3.053927;0.998;34
MAL;28.087;2.42062961;-0.811548907;0.244259046;8.5;3.5117;0.8983;0.41126084;0.4185412;2.353317;0.14058647;-0.39002154;3.205718;1.72;38
