Inselberg,Gamma,GSE,Biomass_median,Meanlogbiomass,Depth_median,Meanlogdepth,PC1,PC2,Prominence
IVC,103.992,23.433,12.829907361641974,2.4025638719620943,8.5,2.313091865333547,-2.3956567202148986,-2.0092747061084033,13
SPN,8.909,3.584,1.069828018135265,0.8108038112840358,5.699999999999999,1.836591650886724,0.12488184913153122,0.04854250252023554,171
KAM,25.697,9.384,0.884913512056464,1.1207688943630207,34,3.713292828392363,-0.48978529773419016,1.4443256295365199,77
SWE,8.635,1.255,0.00618238171318851,0.6842715029025783,20,3.041742245431295,1.616112772240559,0.10388145179885902,1
FRA,18.727,6.207,2.2110952772897052,1.3327078448834826,9.75,2.162370257332621,1.0439039614147418,-0.3236683341876717,25
USA,5.478,1.274,4.191654801541812,1.5580062592237165,9,2.210575110434786,1.5568768820172854,-1.7996884015819092,11
KOR,10.971,1.824,0.6791478033696277,0.63784882464328,23.5,3.069438674898621,0.06713990207848539,-0.1980111397501592,319
SWA,81.979,68.132,0.143172259831068,0.3857596422706084,11.5,2.3953527597876394,-0.18720828322797697,1.131948748129694,57
NWA,21.99,7.254,0.02438482610133543,0.1706043864239972,13,2.573609733991681,-0.5579914285750344,1.5056064727695269,34
MAL,27.014,2.436,2.9396961405692537,1.4622641696365013,8.5,2.353316856110479,-0.7782736371305021,0.09633777687330886,38
