Inselberg,Gamma,GSE,Biomass_median,Meanlogbiomass,Depth_median,Meanlogdepth,PC1,PC2,Prominence
IVC,122.757,18.401,23.3366360345648,2.971416948878592,8.5,2.313091865333547,-2.3956567202148986,-2.0092747061084033,13
SPN,32.591,9.731,2.852221729286806,1.531682820523567,5.699999999999999,1.836591650886724,0.12488184913153122,0.04854250252023554,171
KAM,63.894,14.648,3.707309992509861,2.1640566252394873,34,3.713292828392363,-0.48978529773419016,1.4443256295365199,77
SWE,38.159,9.806,2.539721941976076,1.7052879475761917,20,3.041742245431295,1.616112772240559,0.10388145179885902,1
FRA,36.665,8.633,6.8535027401156245,2.203803856770899,9.75,2.162370257332621,1.0439039614147418,-0.3236683341876717,25
USA,13.638,1.26,4.979815986666653,1.9007447842976244,9,2.210575110434786,1.5568768820172854,-1.7996884015819092,11
KOR,33.044,4.752,3.217682500309539,1.4389723665969398,23.5,3.069438674898621,0.06713990207848539,-0.1980111397501592,319
SWA,69.497,9.995,1.4888583558589819,1.1454899580844853,11.5,2.3953527597876394,-0.18720828322797697,1.131948748129694,57
NWA,40.913,3.901,6.611476651713073,2.4592849546937408,13,2.573609733991681,-0.5579914285750344,1.5056064727695269,34
MAL,55.093,2.972,7.369997773160852,2.1023498402764256,8.5,2.353316856110479,-0.7782736371305021,0.09633777687330886,38
