Inselberg,Gamma,GSE,Biomass_median,Meanlogbiomass,Depth_median,Meanlogdepth,PC1,PC2,Prominence
IVC,26.407,2.864,0.7833962734832162,1.2412663707173535,8.5,2.313091865333547,-2.3956567202148986,-2.0092747061084033,13
SPN,24.636,11.147,1.6482062343675952,1.1293667468346338,5.699999999999999,1.836591650886724,0.12488184913153122,0.04854250252023554,171
KAM,38.273,11.376,1.8746583450496694,1.7067589116461552,34,3.713292828392363,-0.48978529773419016,1.4443256295365199,77
SWE,34.286,13.051,1.7696335290480019,1.402212997858102,20,3.041742245431295,1.616112772240559,0.10388145179885902,1
FRA,18.295,6.881,1.2386518901645083,1.389226132873973,9.75,2.162370257332621,1.0439039614147418,-0.3236683341876717,25
USA,8.239,0.705,0.6615254609577622,0.8266437932562495,9,2.210575110434786,1.5568768820172854,-1.7996884015819092,11
KOR,23.368,6.991,1.5089332686462094,1.149012746285532,23.5,3.069438674898621,0.06713990207848539,-0.1980111397501592,319
SWA,32.383,0.841,1.3672116498779734,1.0080212395671069,11.5,2.3953527597876394,-0.18720828322797697,1.131948748129694,57
NWA,21.479,0.998,6.598476480119112,2.4276562789516443,13,2.573609733991681,-0.5579914285750344,1.5056064727695269,34
MAL,28.087,1.72,2.4206296102106686,1.3445415979661137,8.5,2.353316856110479,-0.7782736371305021,0.09633777687330886,38
